"","Int-01","Int-02","Int-03","Int-04","Liv-01","Liv-02","Liv-03","Liv-04"
"Smp_037540",10,0,0,3,6,8,0,10
"Smp_037590",5,0,4,2,6,2,0,2
"Smp_037640",4,0,2,0,2,4,0,4
"Smp_037690",40,14,9,12,8,4,6,6
"Smp_037700",10,0,4,12,16,22,2,12
"Smp_038080",11,0,0,6,2,0,2,6
"Smp_038100",10,0,10,26,8,4,0,4
"Smp_038210",4,0,2,0,0,2,0,2
"Smp_038240",10,0,2,2,4,0,2,2
"Smp_038340",5,0,3,7,0,2,0,0
"Smp_038510",22,2,2,18,12,12,2,14
"Smp_038560",8,0,6,2,4,6,0,8
"Smp_038700",3,0,0,4,2,0,3,4
"Smp_038710",39,6,15,18,14,6,6,12
"Smp_038830",0,0,0,4,2,2,0,2
"Smp_038870",4,0,0,2,2,4,3,6
"Smp_038930",13,1,5,12,13,7,0,3
"Smp_038950",2,0,0,0,5,3,4,7
"Smp_038980",5,0,2,1,5,8,2,2
"Smp_039000",2,0,0,2,1,2,0,7
"Smp_039080",0,0,0,2,2,2,0,4
"Smp_039160",8,0,2,4,2,2,0,0
"Smp_039180",19,3,3,8,7,4,2,5
"Smp_039300",2,2,4,0,4,3,2,0
"Smp_039390",22,4,18,29,14,16,1,20
"Smp_039400",13,4,5,12,8,5,2,3
"Smp_039490",10,2,6,6,4,2,0,2
"Smp_039640",1,0,2,4,7,0,0,8
"Smp_039650",6,0,2,0,2,2,0,2
"Smp_039670",40,6,18,42,33,8,8,50
"Smp_039810",4,2,6,6,6,2,2,8
"Smp_039820",2,0,0,4,4,2,0,2
"Smp_039870",2,0,6,0,0,2,0,2
"Smp_040080",17,0,4,4,4,10,0,3
"Smp_040100",8,0,2,13,12,23,0,4
"Smp_040130",36,8,32,44,36,52,6,44
"Smp_040190",4,0,4,8,5,0,0,2
"Smp_040270",9,0,4,10,12,2,4,12
"Smp_040280",12,0,2,2,4,0,0,2
"Smp_040460",2,0,2,8,0,2,0,10
